k	run	total_log_prob	dendroscope
4	run_082	-19277424.27876617	(longicaulis-JJ131,(((cinerascens-DE542,rhodotricha-DE534),(ingens-JJ15,decora-DE216)),((lachnoglossa-DE536,((((mussotii-DE550,longiflora-red-DE531),((chinensis-DE737,(decorissima-DE164,bidentata-DE672)),(((souliei-DE549,(oxycarpa-DE504,(davidii-DE509,torta-yellow-purple-DE736))),(latituba-DE88)#H2),(fletcheri-JJ89,((tricolor-JJ130,cranolopha-forked-DE151),#H2))))),(delavayi-DE476,tenuituba-DE541)))#H1),(((((fetisowii-DE523,(rex-subsp-lipskyana-red-DE510,(cyathophylla-DE561,cyathophylloides-DE181))),przewalskii-DE69),bella-JJ85))#H3,(keiskei-DRR082660,(axillaris-JJ125,((macrosiphon-DE519,rhinanthoides-DE560),(#H1,#H3))))))));
3	run_236	-19277455.589765534	((((decora-DE216,ingens-JJ15),(rhodotricha-DE534,cinerascens-DE542)),((((delavayi-DE476,tenuituba-DE541),((decorissima-DE164,(bidentata-DE672,chinensis-DE737)),((mussotii-DE550,longiflora-red-DE531),((fletcheri-JJ89,(latituba-DE88,(tricolor-JJ130,cranolopha-forked-DE151))),(((torta-yellow-purple-DE736,davidii-DE509),oxycarpa-DE504),souliei-DE549))))))#H1,(lachnoglossa-DE536,(((bella-JJ85,(((rex-subsp-lipskyana-red-DE510,(cyathophylloides-DE181,cyathophylla-DE561)),fetisowii-DE523),przewalskii-DE69)))#H2,(keiskei-DRR082660,(axillaris-JJ125,((rhinanthoides-DE560,macrosiphon-DE519),(#H1,#H2)))))))),longicaulis-JJ131);
4	run_392	-19277580.265410494	((((decora-DE216,ingens-JJ15),(rhodotricha-DE534,cinerascens-DE542)),((((delavayi-DE476,tenuituba-DE541),(((decorissima-DE164,(chinensis-DE737,bidentata-DE672)),(mussotii-DE550,longiflora-red-DE531)),(((davidii-DE509,torta-yellow-purple-DE736))#H2,((latituba-DE88,(fletcheri-JJ89,(cranolopha-forked-DE151,tricolor-JJ130))),(souliei-DE549,(oxycarpa-DE504,#H2)))))))#H1,(lachnoglossa-DE536,(((bella-JJ85,((((cyathophylla-DE561,cyathophylloides-DE181),rex-subsp-lipskyana-red-DE510),fetisowii-DE523),przewalskii-DE69)))#H3,(keiskei-DRR082660,(axillaris-JJ125,((macrosiphon-DE519,rhinanthoides-DE560),(#H3,#H1)))))))),longicaulis-JJ131);
5	run_215	-19277695.82359172	(longicaulis-JJ131,((((tenuituba-DE541,delavayi-DE476),((fletcheri-JJ89)#H2,((mussotii-DE550,longiflora-red-DE531),((chinensis-DE737,(decorissima-DE164,bidentata-DE672)),(((oxycarpa-DE504,(davidii-DE509,torta-yellow-purple-DE736)),souliei-DE549),(latituba-DE88,(cranolopha-forked-DE151,(#H2,tricolor-JJ130)))))))))#H1,((lachnoglossa-DE536,(((bella-JJ85,(przewalskii-DE69,(fetisowii-DE523,((cyathophylla-DE561,cyathophylloides-DE181),rex-subsp-lipskyana-red-DE510)))))#H3,(axillaris-JJ125,(keiskei-DRR082660,((macrosiphon-DE519,rhinanthoides-DE560),(#H1,#H3)))))),(((cinerascens-DE542)#H4,rhodotricha-DE534),(#H4,(ingens-JJ15,decora-DE216))))));
4	run_250	-19277715.714426793	(longicaulis-JJ131,(((cinerascens-DE542,rhodotricha-DE534),(decora-DE216,ingens-JJ15)),(lachnoglossa-DE536,(((((((tricolor-JJ130,cranolopha-forked-DE151))#H3,fletcheri-JJ89))#H2,((tenuituba-DE541,delavayi-DE476),((decorissima-DE164,(chinensis-DE737,bidentata-DE672)),((longiflora-red-DE531,mussotii-DE550),((souliei-DE549,(oxycarpa-DE504,(davidii-DE509,torta-yellow-purple-DE736))),(#H3,(latituba-DE88,#H2))))))))#H1,(((bella-JJ85,(przewalskii-DE69,((rex-subsp-lipskyana-red-DE510,(cyathophylla-DE561,cyathophylloides-DE181)),fetisowii-DE523))))#H4,(keiskei-DRR082660,(axillaris-JJ125,((macrosiphon-DE519,rhinanthoides-DE560),(#H1,#H4)))))))));
4	run_434	-19277737.194948435	(longicaulis-JJ131,((((tenuituba-DE541,delavayi-DE476),(((mussotii-DE550,longiflora-red-DE531),(((souliei-DE549,((torta-yellow-purple-DE736,davidii-DE509),oxycarpa-DE504)),(latituba-DE88,((tricolor-JJ130,cranolopha-forked-DE151))#H2)),(#H2,fletcheri-JJ89))),(decorissima-DE164,(bidentata-DE672,chinensis-DE737)))))#H1,(((rhodotricha-DE534,cinerascens-DE542),(decora-DE216,ingens-JJ15)),(lachnoglossa-DE536,(((bella-JJ85,(przewalskii-DE69,(fetisowii-DE523,((cyathophylla-DE561,cyathophylloides-DE181),rex-subsp-lipskyana-red-DE510)))))#H3,(axillaris-JJ125,(keiskei-DRR082660,((rhinanthoides-DE560,macrosiphon-DE519),(#H1,#H3)))))))));
5	run_291	-19277796.0007026	(longicaulis-JJ131,((((tenuituba-DE541,delavayi-DE476),(((longiflora-red-DE531,mussotii-DE550),(fletcheri-JJ89)#H2),(((bidentata-DE672,decorissima-DE164),chinensis-DE737),(((oxycarpa-DE504,(torta-yellow-purple-DE736,davidii-DE509)),souliei-DE549),(latituba-DE88,((cranolopha-forked-DE151,tricolor-JJ130),#H2)))))))#H1,(((rhodotricha-DE534,(cinerascens-DE542)#H3),((decora-DE216,ingens-JJ15),#H3)),(lachnoglossa-DE536,((((fetisowii-DE523,(przewalskii-DE69,((cyathophylla-DE561,cyathophylloides-DE181),rex-subsp-lipskyana-red-DE510))))#H5)#H4,(axillaris-JJ125,(keiskei-DRR082660,((rhinanthoides-DE560,macrosiphon-DE519),((bella-JJ85,#H4),(#H5,#H1))))))))));
4	run_211	-19277951.631621495	(longicaulis-JJ131,(((cinerascens-DE542,rhodotricha-DE534),(ingens-JJ15,decora-DE216)),(lachnoglossa-DE536,((keiskei-DRR082660,((bella-JJ85,(((((delavayi-DE476,tenuituba-DE541),((longiflora-red-DE531,mussotii-DE550),((decorissima-DE164,(bidentata-DE672,chinensis-DE737)),(((torta-yellow-purple-DE736,davidii-DE509),(souliei-DE549,oxycarpa-DE504)),(((tricolor-JJ130,cranolopha-forked-DE151),latituba-DE88),fletcheri-JJ89))))))#H2)#H1,((fetisowii-DE523,(przewalskii-DE69,(rex-subsp-lipskyana-red-DE510,(cyathophylla-DE561,cyathophylloides-DE181)))))#H3)),((axillaris-JJ125)#H4,(#H4,(#H1,(macrosiphon-DE519,rhinanthoides-DE560)))))),(#H3,#H2)))));
4	run_260	-19277969.737413317	(longicaulis-JJ131,(((cinerascens-DE542,rhodotricha-DE534),(decora-DE216,ingens-JJ15)),((((delavayi-DE476,tenuituba-DE541),((mussotii-DE550,longiflora-red-DE531),((decorissima-DE164,(chinensis-DE737,bidentata-DE672)),(((torta-yellow-purple-DE736,davidii-DE509),(souliei-DE549,oxycarpa-DE504)),(fletcheri-JJ89,((tricolor-JJ130,cranolopha-forked-DE151),latituba-DE88)))))))#H1,(lachnoglossa-DE536,(((bella-JJ85,(przewalskii-DE69,((rex-subsp-lipskyana-red-DE510,(cyathophylla-DE561,cyathophylloides-DE181)),fetisowii-DE523))))#H2,(keiskei-DRR082660,(axillaris-JJ125,((rhinanthoides-DE560,macrosiphon-DE519),(#H1,#H2)))))))));
5	run_245	-19278052.71043664	(longicaulis-JJ131,((lachnoglossa-DE536,((((((longiflora-red-DE531,mussotii-DE550),((((oxycarpa-DE504,(torta-yellow-purple-DE736,davidii-DE509)),souliei-DE549),(fletcheri-JJ89,(latituba-DE88,(cranolopha-forked-DE151,tricolor-JJ130)))),(decorissima-DE164,(chinensis-DE737,bidentata-DE672)))),(tenuituba-DE541,delavayi-DE476)))#H1,((przewalskii-DE69,(((cyathophylloides-DE181,cyathophylla-DE561),rex-subsp-lipskyana-red-DE510),fetisowii-DE523)))#H2),(keiskei-DRR082660,((axillaris-JJ125,((#H1)#H3,(rhinanthoides-DE560,macrosiphon-DE519))),(bella-JJ85,(#H3,#H2)))))),((cinerascens-DE542,(decora-DE216,ingens-JJ15)),rhodotricha-DE534)));
